Question,Answer
Job fraud,"Recruitment Scams Awareness: SHNOOR International never charges any fees, requests payments, or asks for financial information at any stage of our hiring process. Be alert for requests for money, communication from personal emails (like Gmail or Yahoo), or promises of jobs without interviews. <br/><br/><a href='/recruitment-scams' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>View or learn more</a>"
Scam awareness,"Recruitment Scams Awareness: SHNOOR International never charges any fees, requests payments, or asks for financial information at any stage of our hiring process. Be alert for requests for money, communication from personal emails (like Gmail or Yahoo), or promises of jobs without interviews. <br/><br/><a href='/recruitment-scams' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>View or learn more</a>"
Do you use Gmail for hiring?,"Recruitment Scams Awareness: SHNOOR International never charges any fees, requests payments, or asks for financial information at any stage of our hiring process. Be alert for requests for money, communication from personal emails (like Gmail or Yahoo), or promises of jobs without interviews. <br/><br/><a href='/recruitment-scams' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>View or learn more</a>"
How to stay safe from job scams?,"Recruitment Scams Awareness: SHNOOR International never charges any fees, requests payments, or asks for financial information at any stage of our hiring process. Be alert for requests for money, communication from personal emails (like Gmail or Yahoo), or promises of jobs without interviews. <br/><br/><a href='/recruitment-scams' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>View or learn more</a>"
How do I report a fake job?,"If you suspect a recruitment scam using the name of SHNOOR International, please ensure emails come from @shnoor.com and contact us immediately at hr@shnoor.com to report fraud. <br/><br/><a href='/contact' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>Report Fraud</a>"
Who do I contact about a scam?,"If you suspect a recruitment scam using the name of SHNOOR International, please ensure emails come from @shnoor.com and contact us immediately at hr@shnoor.com to report fraud. <br/><br/><a href='/contact' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>Report Fraud</a>"
Where do I report fraud?,"If you suspect a recruitment scam using the name of SHNOOR International, please ensure emails come from @shnoor.com and contact us immediately at hr@shnoor.com to report fraud. <br/><br/><a href='/contact' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>Report Fraud</a>"
What is the HR email?,"If you suspect a recruitment scam using the name of SHNOOR International, please ensure emails come from @shnoor.com and contact us immediately at hr@shnoor.com to report fraud. <br/><br/><a href='/contact' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>Report Fraud</a>"
How do I verify my offer letter?,"If you suspect a recruitment scam using the name of SHNOOR International, please ensure emails come from @shnoor.com and contact us immediately at hr@shnoor.com to report fraud. <br/><br/><a href='/contact' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>Report Fraud</a>"
Report fraud,"If you suspect a recruitment scam using the name of SHNOOR International, please ensure emails come from @shnoor.com and contact us immediately at hr@shnoor.com to report fraud. <br/><br/><a href='/contact' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>Report Fraud</a>"
Is this email from you?,"If you suspect a recruitment scam using the name of SHNOOR International, please ensure emails come from @shnoor.com and contact us immediately at hr@shnoor.com to report fraud. <br/><br/><a href='/contact' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>Report Fraud</a>"
How to check if an offer is genuine?,"If you suspect a recruitment scam using the name of SHNOOR International, please ensure emails come from @shnoor.com and contact us immediately at hr@shnoor.com to report fraud. <br/><br/><a href='/contact' style='color: #F59E0B; font-weight: bold; text-decoration: underline;'>Report Fraud</a>"
dfghjkl,Ask anything related to Shnoor International 
